execution	cohort	cohort_sort	dependence	dependence_sort	dependence_type	independence	model	model_sort	model_adjustment	model_context	model_note
1	genotype	1	bipolar_disorder_control_case	1	logistic	score_32769997_zhou_2020_tsh;sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	adjust	joint	adjust joint
1	genotype	1	bipolar_disorder_control_case	1	logistic	score_32769997_zhou_2020_tsh;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	unadjust	joint	unadjust joint
1	genotype	1	bipolar_disorder_control_case	1	logistic	sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	2	2	adjust	null	adjust null
1	genotype	1	bipolar_type_1_control_case	1	logistic	score_32769997_zhou_2020_tsh;sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	adjust	joint	adjust joint
1	genotype	1	bipolar_type_1_control_case	1	logistic	score_32769997_zhou_2020_tsh;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	unadjust	joint	unadjust joint
1	genotype	1	bipolar_type_1_control_case	1	logistic	sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	2	2	adjust	null	adjust null
1	genotype	1	bipolar_type_2_control_case	1	logistic	score_32769997_zhou_2020_tsh;sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	adjust	joint	adjust joint
1	genotype	1	bipolar_type_2_control_case	1	logistic	score_32769997_zhou_2020_tsh;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	unadjust	joint	unadjust joint
1	genotype	1	bipolar_type_2_control_case	1	logistic	sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	2	2	adjust	null	adjust null
1	genotype	1	bipolar_disorder_type_1_2	1	logistic	score_32769997_zhou_2020_tsh;sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	adjust	joint	adjust joint
1	genotype	1	bipolar_disorder_type_1_2	1	logistic	score_32769997_zhou_2020_tsh;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	unadjust	joint	unadjust joint
1	genotype	1	bipolar_disorder_type_1_2	1	logistic	sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	2	2	adjust	null	adjust null
1	genotype	1	rapid_cycling	1	logistic	score_32769997_zhou_2020_tsh;sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	adjust	joint	adjust joint
1	genotype	1	rapid_cycling	1	logistic	score_32769997_zhou_2020_tsh;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	1	1	unadjust	joint	unadjust joint
1	genotype	1	rapid_cycling	1	logistic	sex_y;age;genotype_pc_1;genotype_pc_2;genotype_pc_3;genotype_pc_4;genotype_pc_5	2	2	adjust	null	adjust null
